,회차,날짜,댓글,답글,좋아요,싫어요
0,13,2020-05-26 23:09,소설 읽은 사람으로서...이건 스포당하면 안돼는 소설입니다...스포 하지맙시다 인간이라면...,19,8597,141
0,13,2020-05-26 23:13,싱샹숑으로 적는게 국룰인데 싱숑으로 나와서 살짝 아쉬워짐,4,7541,105
0,13,2020-05-26 23:14,1.아직 안 나온 애들 이름 미리 말하지 않기2. 뒤에 나올 내용을 기반으로 한 주접 떨지 않기 웹툰으로 첨 접할 신규 독자들을 위해 이건 꼭 지킵시다! 물론 신규 독자분들도 원작 읽어보세요! 재미 반드시 보장드립니다!,4,6625,103
0,13,2020-05-26 23:01,김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!김독자!,14,6087,192
0,13,2020-05-26 23:13,여러분 뉴비들 있으니까 뜻을 모를만한 단어도 언급 자제 부탁드려요 ㅠㅠㅜㅠ.. 스포 하지 맙시다,5,5518,135
0,13,2020-05-26 23:09,싱숑작가님 그리고 그림작가님 기다렸습니다 대작엔 꽃길이죠 쭉쭉 위로올라가시죠🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌼🌼🌻🌼🌼🌸🌸🌷🌷💮💮🏵🥀🏵🌺🏵🥀🌸🥀🌷🥀🌻🌺🌸🌺💮🥀🌷🥀🌼🌸,0,0,0
0,13,2020-06-01 01:17,미안한데 전독시 남성독자가 더 많음.. 그 많은 남성독자 그럼 다 게이냐? 게이무새들아?,11,1328,112
0,13,2020-06-01 02:24,근데 원작이 너무 대작이라 웹툰이 따라갈 수 있을까...? 그림작가 분 역량을 의심하는 게 아니라 매 에피소드가 이정도로 판이 커진다고;;;;? 싶어져서... 그게 그림으로 표현이 되나,7,175,8
0,13,2020-05-26 23:11,?????한부장 생각보다....잘생겼다,22,36525,337
0,13,2020-05-26 23:26,한부장 생각보다 잘생긴미중년상이라 놀람배불뚝아저씨로 상상했단말야,13,33450,299
0,13,2020-05-27 01:12,"뉴비들을 위해서 지켜야할것1. 아직 안 나온 내용이나 대사, 설정, 떡밥 언급 금지 2. 안 나온 캐릭터나 캐릭터 설정 언급 금지 참고로 지금 언급된 캐는 김독자, 유상아, 한부장입니다 이 명작을 뉴비들이 재미있게 즐길수 있게 깨끗한 댓창 만듭시다 뉴비 여러분 내용 궁금하면 소설로 ㄱ 소설도 개꿀잼임",20,21297,242
0,13,2020-05-26 23:42,미안하다이거보여주려고어그로끌었다김독자 외모 실화냐 진짜 세계관 최강미모다 오징어 김독자 맞냐?진짜 김도게자는 전설이다.. 진짜 맨날 전독시 봤는데 김독자보면 진짜 내가다 감격스럽고 가슴울리는 장면들이 뇌리에 스치면서 가슴이 웅장해진다. 김독자 좋아하는사람이면 처음봤을때는 안울수가없더라 진짜 너무 감격스럽고 전독시 다시읽는데 미안하다 지금 끝까지 또 다봤는데 내가다 뭔가 알수없는 추억이라 해야되나 그런감정이 이상하게 얽혀있다 와 소리 저절로 나오더라 진짜 저건 개오지는데 저게ㄹㅇ 진짜ㄹㅇ이면 꼭봐야돼 아무튼 전독시는 진짜 웹소설중최고명작임,18,15417,834
0,13,2020-05-26 23:48,"근데 생각보다 독자 표정이 다양하네,,,뭔가 항상 이성적인 김독자여서 표정이 별로 없을줄 알았는데,,,",6,13001,146
0,13,2020-05-26 23:49,아나 한부장 내취향 중년이라서 자존심 상해,0,0,0
0,13,2020-05-27 01:31,아니 독자 개 불쌍하노... 혼자 마이너 파다가 성덕 돼서ㅇ좋아했는데 저런 일 당함,3,8712,256
0,13,2020-05-27 00:12,여러분 지금까지 나온 이름 김독자 유상아가 전부니까 이름 스포하지않았으면 좋겠네요ㅜㅠㅜㅠㅠ,2,6451,76
0,13,2020-05-27 00:33,이 작품을 웹툰으로 첨 접하시는 여러분 웬만하면 전체 댓란 보지 마세요 스포성 댓글들은 베댓에서는 걸러지는데 전체 댓란에선 그런 거 없으니 걍 베댓만 보고 담편으로 넘기는 게 나아요,2,5049,51
0,13,2020-05-27 00:14,스포 방지 겸 bgm 추천해드릴게요 마비노기ost 비극의 시작과 끝 찰떡입니다 진짜 강추 그리고 우리 도깨비씨 이름도 아직은 스포일러입니다 뉴비를 배려합시다,4,4215,107
0,13,2020-05-27 01:06,진짜ㅋㅋㅋㅋ어딜가나 항상 유료댓글란은 정상적이다ㅋㅋ,1,3491,54
0,13,2020-05-27 01:00,ㅋㅋㅋㅋ무려편수 댓글란은 개판 난리인데..유료댓글란은 청정하군 ㅋㅋㅋㅋㅠㅠ넘좋다...근데 한명오부장은...대머리 배불뚝 아저씨라 상상했는데 웹툰에선 샤프하고 지적으로 나오네요..ㅎㄷㄷ,0,0,0
0,13,2020-05-27 03:06,여러분 이름 스포된 덧글 싫어요 눌러서 내리는거 같이 해주실 수 있을까요ㅠㅠ 스포 당하는 입장에선 이름 스포조차도 크아악일 수 있거든요ㅠ 제가 타장르에서 그런 스포 겪어봐서 알아요ㅠㅠㅜ,0,0,0
0,13,2020-05-27 06:22,역시 유료분 시작은 유료로 봐야 제맛이 느껴지죠,0,0,0
0,13,2020-06-08 22:09,"안나온 캐 이름을 언급하면 안되는 이유.1. 웹툰 독자들은 모름. 따라서 소설 읽은 독자들이 oo이다ㅠㅠ 하면 저게 누구인지, 쟤들이 왜 저러는지 이해가 안감>소외감이 듦. 2. 아직 분량이 많이 나오지 않았기에 누가 주요인물인지, 누가 살아남을 사람인지 모르기때문에 이름을 언급하면 일단 살아남을 인물인걸 눈치 챔. >스포가 될 수 있음. 3. 아무것도 모르니까 스포인지도 모른다는 분들 계시는데 조금씩 이야기가 풀리면 다~~ 스포가 될 수 있으니 그냥 아무말 말라는거. 그냥 이야기하고싶으면 SNS나 소설 댓글 가면 됨. 왜 굳이 미래이야기를 갖고 와서 이야기 보따리를 풀어대는지 노이해",3,1345,17
0,12,2020-05-26 23:07,이거 15세 안걸면 많이 놀라겠는데,34,41118,274
0,12,2020-05-26 23:26,그림작가님 솔직히 말해봐요 당신 성좌지어떻게 이렇게 원작에서 상상했던 그대로 그려낼 수가 있어,12,32095,413
0,12,2020-05-26 23:17,중간에 돌아버리는 실루엣보고 우는 중..... 아직은 이름을 말할 수 없는 그 미친 실루엣에 뻐렁친다 진짜...,23,20818,2160
0,12,2020-05-26 23:23,여러분 근데 되도록 등장인물이 나와도 댓글로 너무 반가워하진 않는게 좋을 것 같아요 사람들에겐 그거 자체가 스포가 될 수 있고 경험상 너무 많은 스포는 작품에 대한 흥미를 떨어뜨리기 좋더라구요;),3,17002,230
0,12,2020-05-26 23:48,및친... 친구 죽인 여자애 ㅈㄴ.. 트라우마남을듯,7,16589,196
0,12,2020-05-27 00:50,등장인물이 나와서 반가운 건 알겠는데 너무 자기네들끼리만 아는 얘기는 하지 맙시다. 신규 독자들은 소외감 느끼고 자연스레 유입이 증가할 기회를 놓치고 맙니다. 그건 이 훌륭한 작품과 그걸 써내신 작가분에 대한 예의가 아니죠,1,9765,145
0,12,2020-05-27 08:02,소설안본 사람인데 앞으로는 댓글 안읽으려고요^^;;솔직히 처음보는 등장인물 알아가면서 보는재미인데 이건뭐.... 반가워하는 댓만봐도 김이 팍 샙니다;,1,8918,195
0,12,2020-05-26 23:34,아니 쟤는 어떻게 실루엣마저도 잘생긴거냐,2,5099,890
0,12,2020-05-28 01:38,진심 캐릭터 앓는 글 좀 안쓰면 안되나? 이것만 봐도 스포되는 것 같음....,0,0,0
0,12,2020-05-26 23:25,저 검은 실루엣 뭔가 대단한 사람일듯요! 벌써부터 잘생김과 주인공같은 아우라가 느껴짐,2,4122,422
0,12,2020-05-27 02:33,스포성 댓은 ■ 필터링,8,3932,122
0,12,2020-05-27 00:33,와 아니 원작 소설읽으면서 상상한 거 너무 잘 구현하셨네여 진짜 기대 많이 했는데 기대 이상이라 너무너무 즐겁습니다!!!! 와 근데 진짜 친구를 죽이고 살아남으면 트라우마 어떡하냐...,0,0,0
0,12,2020-05-26 23:33,이현성 너무 생각한 그대로라 눈물난다 씨,3,3079,762
0,12,2020-06-12 03:33,뭘 뉴비면 스포해도 몰라 댓글에 실루엣 어쩌구 이현성이다 눈물 지혜다 엉엉 하는것부터 주요인물들이라는게 다나오는구만 댓글 보기전까진 여학생보고 그냥 상황보여주려고 한 연출이거나 주연까진 아니라고 생각했고 군인나온거보곤 주인공이 생각하는거랑 다르다고 하길래 일찍죽거나 여기선 오히려 등장씬 얼마 없을수도 있으려나 생각하고 또 실루엣 나왔을땐 에이 그래도 주인공이 이미있는데 만화속 소설주인공이 크게뭐 있겠어 라는생각등등'많이함 근데 걍 와 그캐릭터다 라는댓글만으로 다 주연급이구나 바로 생각바뀌는데 그냥 내용이나 캐릭터 관련 댓글 달지 마세요 제발 벌써 재미 반감됨; 반가운건 알겠는데 작가님한테 표현하든가 그렇게반가우면 딴데가서 이야기할 친구만들어서 같이 얘기하세요 아무것도 모르는 독자들한테 이것저것 생각하게하지마시고,1,1678,57
0,12,2020-05-28 19:48,"나혼렙은 웹툰출시 이후로 수십개의 판타지웹소설 원박웹툰이쏟아졌음에도 사람들은 나혼렙만 기억할만큼 퀄리티 높은 원작 초월 웹툰이엇다그런데 이제 사람들의 기억에 하나가 추가 될것 같다 전지적독자시점. 높은수준의 작화 퀄리티,연출 소름돋는다",4,1458,44
0,12,2020-05-26 23:21,무슨 작가가 자기소설을 텍본공유해ㅋㅋㅋㅋㅋㅋㅋ 나같아도 어처구니 없을듯,62,50478,142
0,12,2020-05-26 23:39,솔직히 저 상황에서 여전히 자신의 도덕을 지킬수 있는 사람이 얼마나 있을까요... 그럼에도 불구하고 주저않고 뛰어나갈수 있는 유상아라는 캐릭터는 앞으로 사랑할수밖에 없을거같네요...,10,32116,162
0,12,2020-05-26 23:46,할머니 폭행 당하는 장면 걱정했는데 그래도 맞는 할머니의 모습을 자극적이게 비춰주는게 아니라 폭행을 하는 가해자들의 모습만 그려져서 좀 낫네요,10,26632,348
0,12,2020-05-26 23:19,소설을 미리 읽어봤다고 스포하지 맙시다 여러분!이미 스포성을 내포하는 댓글이 많이 보입니다 ㅠㅠ 이런식의 댓글은 새로운 독자 유입에 큰 방해가 됩니다! 싱숑 작가님을 위하는 길이니 스포성 댓글은 삼가하는게 좋을 것 같습니다! 특히나 ○○이다 ○○이 ㅠㅠ 라던가 특정 캐 릭터를 언급하는 댓글이 상당수 보입니다.. 우리 클린한 댓글 매너를 가져보아요! 그게 나도 좋고 작가님도 좋은길입니다! 웹툰 속의 '독자'가 우리 독자들을 보고 뭐라 생각하겠어요ㅜㅜ,5,11265,197
0,12,2020-05-26 23:18,김독자 눈 동글동글 너무 귀여운거 아냐? 적당히 귀여울줄 알아야지 이건 정말 사람 화 려한조명이 나를 감싸네,5,9638,261
0,12,2020-05-26 23:38,다시 봐도 어이없네ㅋㅋㅋㅋ본인 소설 택본 뿌리는 작가ㅋㅋㅋㅋㅋㅋㅅㅂㅋㅋㅋ,0,0,0
0,12,2020-05-26 23:35,"아 진짜 글자를 읽으며 머릿속에서 수십 수백 번 돌려오고 상상했던 그림, 인물들의 행동이 내 눈앞에서 펼쳐지니 뭐라 형언할 수 없는 감동이 펼쳐진다 ㅜㅜ 단순히 2D로 접해도 그런데 하물며 그걸 생으로 일어나는 것을 본 독자의 심경이 어떨까...",2,7248,137
0,12,2020-05-26 23:39,남운이 소설로 봤던 것보다 더 미친 것 같다....,0,0,0
0,12,2020-05-27 00:04,생각보다 더 무섭다 소설 때는 3인칭으로 바라보다가 1인칭 시점에서 가해자를 바라보는 게 참...,1,4556,48
0,12,2020-05-26 23:36,퀄리티 진짜 쩐다.. 소설 읽으면서 상상했던 장면이 실제로 그려지니까 너무 새롭고 신기해요ㅠㅠ,0,0,0
0,12,2020-05-26 23:36,와 근데 저 흰머리 친구? 진짜 왜이리 적응이 빠르셰여..님...?,0,0,0
0,12,2020-05-26 23:33,김독자 ... 상황 시작된지 10분도 안지나서 뭘...계획하는거지? 유료화되자마자 바로 계획짰다는거잖아 독자가...다 계획이 있구나!지능캐구나! 하는것을 알수있읍니다,0,0,0
0,12,2020-05-27 01:42,진짜 베뎃님 말씀처럼 소설을 읽은 땐 3인칭으로 바라봐서 덜했는데 웹툰화되면서 그림으로 보이고 1인칭이 되니까 더 잔인하고 무섭네요... 사람들이 터지고 하는 것도 좀 잔인해서 전체이용가로 해도 되나.. 싶어요..,0,0,0
0,12,2020-05-27 04:54,이미 전독시 원작 읽으시는 분들이 계시지만 반대로 여기 뉴비분들도 계십니다. 그러니 아직 나오지 않은 이름을 언급하지 마세요. 그건 본인들에겐 자랑이시겠지만 뉴비분들께선 스포 받는 입장에서는 당연히 달갑지 않습니다. 스포 언급 자제해주세요.,0,0,0
0,12,2020-05-26 23:53,상상만 하던걸 이렇게 보니까 느낌이 색다르다,0,0,0
0,12,2020-05-26 23:21,와.....소설에선 김남운 막 무섭진 않고 걍 중2병이었는데 뭔가 실체가 눈에 보이니까 무섭넹....,10,28347,166
0,12,2020-05-26 23:20,곱등이아냐? 왜이리커 ㅋㅋㅋㅋㅋㅋ 넘 잘그리잖아여,14,24854,140
0,12,2020-05-26 23:22,소설에서 안 나왔던 묘사 보강하는거 좋네요 예를 들어 메뚜기 잡을 때 으... 하는거라던가 ㅋㅋㅋㅋㅋㅋㅋ,2,18891,115
0,12,2020-05-26 23:40,아 고3인데 중2병이구나 나는중학생치고 과한설정아닌가 했잖아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,17248,87
0,12,2020-05-27 00:13,흰머리 특성에 중2병이라고 떡하니 있는거 개웃기네ㅋㅋㅋㅋㅋㅋ 그래..... 공부가 많이 힘드니....?,5,14092,79
0,12,2020-05-27 01:47,저기 곤충채집망 들고있던 애기....진짜 너무 속상하다..좋은것만 보고 좋은것만 경험해도 모자랄 나인데,9,11381,108
0,12,2020-05-27 01:50,누가 그랬는데ㅋㅋㅋ이거 완결나고나서 지하철타면 다 채집통 들고 있을거라고ㅋㅋㅋㅋㅋㄱㅋ,9,10681,79
0,12,2020-05-26 23:40,대놓고 중2병이라고 하니까 웃기다ㅋㅋㅋㅋㅋ,1,7293,39
0,12,2020-05-26 23:39,전개속도가 중반부쯤 되었을 때는 어떻게 느껴질지 모르겠지만 지금은 원작만큼 세세한 서술과 묘사가 표현되는게 딱 좋은 것 같아요소설 보면서 상상했던 그 장면들이 이미지로 올라와있는 것 자체가 감동스럽습니다ㅠ,0,0,0
0,12,2020-05-27 00:25,"김독자 몸통박치기 굉장히 쎄네요.. 김남운 날아가구 있어,,",1,4982,20
0,12,2020-05-26 23:40,김남운 상상한것보다 더 중2병스럽고 또라이 같네,0,0,0
0,12,2020-05-27 00:25,와 근데 역시 싱숑작가님도 인정한 웹툰 팀원들 답게 묘사 하나하나가 장난아니시네요 저는 이 소설을 3번 봤는데도 제 머릿속 이미지와 거의 흡사합니다!!,0,0,0
0,12,2020-05-27 01:01,웹툰화소식 처음 들었을땐 ??했었는데 실제로 보니 진짜 위화감도 거의 없고 정말 몰입도 좋고...ㅠㅠㅠ 독자 얼굴이 열일한다ㅠㅠㅠ,0,0,0
0,12,2020-06-28 21:47,밀어줘서 잘나가는게 아니라 잘나가서 밀어주는거임 ㅋㅋㅋㅋ원작이 월매출로 기록 세우는 수준인데 당연한거지..,0,0,0
0,12,2020-06-28 21:17,웹툰 런칭하고 소설 월매출 16억 찍었다는데 기업 입장에선 당연히 죽어라 광고할 수밖에 없지 황금알을 낳는 거위수준인데ㅋㅋㅋㅋㅋㅋ,2,573,6
0,12,2020-05-26 23:35,오늘의 상식:벌레의 알은 생명체다메뚜기는 배란기때 100여개 이상의 알을 산란한다,26,49206,139
0,12,2020-05-26 23:20,올라오자마자 다 결제한 사람 나만 그런거 아닐거라고 믿음아 걍 완결까지 한번에 내줫으면 좋갯어 ㅜㅜㅜ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,24278,173
0,12,2020-05-26 23:17,아 개재밌다 근데 제발 ㅋㅋㅋㅋㅋㅋ 자기 원작 읽은 것도 알겠고 자랑하고싶은 마음은 알겠는데 제발 자연스럽게 스포성 댓글 달지 말자... 그냥 나만 이 웹툰의 끝을 아는 독자라고 생각하면서 뽕 채우면서 혼자 읽자... 제발 스포 자제 좀...,3,23487,178
0,12,2020-05-26 23:28,우리집 한부장은 머리반쯤 까진 땅딸막 배나온 중년아재였는디 이상하다;; 갑자기 소설읽을때의 배나온 한부장 위로 까리한 안경중년이 덧씌워지면서 추억조작됨,3,15201,541
0,12,2020-05-26 23:40,아 뭐야 벌써 다봤어..? 지금 완전 솜사탕 잃은 라쿤됨,9,13826,91
0,12,2020-05-26 23:36,근데 지금와서 생각해보니까 할머니는 어떻게 해도 돌아가시네..독자에게 구해지긴 했지만 생명체를 죽이진 못했으니까ㅠ,8,12642,86
0,12,2020-05-26 23:24,육체의 내구도가 오르면 옷까지 오르는 편리한 시스템,1,8478,93
0,12,2020-05-26 23:29,아닠ㅋㅋ 다들 쉬지않고 바로 일로 왔냐고ㅋㅋㅋ 왜 중간에 있는 회차보다 여기가 댓글 수가 더 많냐ㅋㅋㅋ,0,0,0
0,12,2020-05-26 23:30,아 스포하지 말라고!!!!!!염병 스포성 댓글 달지마!!!처음 보는 사람들 스포를 듣거 싶게 하지마!!!우리 작가님 돈벌어야한다고!!!!!!!,0,0,0
0,12,2020-05-26 23:48,웹툰은 소설보다 연재텀이 기니까 이 장르 적어도 10년은 더 팔수 있겠어.,1,4883,60
0,12,2020-05-26 23:30,독자야 나는 너만의 제빵사가 될게,1,4123,51
0,12,2020-05-26 23:41,솔직히 말하자면 소설 끝까지 안읽으신 분들은 댓글창 베댓말고는 읽지 않으시는 걸 추천합니다ㅠ많은 사람들이 스포하지말자!!해도 스포댓 달면서 낄낄대는 이상한 놈은 한명씩 있기마련이라....그걸 운나쁘게 보게될수도있으니ㅠ,3,3432,58
0,12,2020-05-26 23:34,ㅋㅋㅋㅋㅋ베댓 진짜 개웃기다ㅋㅋㅋㅋㅋ 나도 머리 반쯤까진 땅딸막 배나온 중년 생각하고있었는데,0,0,0
0,12,2020-05-26 23:36,님들아 여기선 제발 주접떨지말자... 스포하지말자........,0,0,0
0,12,2020-05-26 23:39,스포 좀 하지마세요ㅠㅠ 처음 보는데 진짜 속상하네 ㅠㅠ,0,0,0
0,12,2020-06-02 23:24,저 저 유리창에 묻은 피 닦는거..... 저거 소설 1부 표지잖아ㅠㅠㅠㅠㅠㅠㅠ,22,28149,531
0,12,2020-06-02 23:25,김독자가 마냥 선한사람이라 길영이한테 손내밀고 사람들 도와주고 이러는 게 아니라 그 시나리오를 이용해먹는다는게 너무맘에듦.,8,25296,165
0,12,2020-06-02 23:29,난 진짜 도깨비 볼 때마다 외형이랑 말본새랑 너무 차이나서 미치겠음… 입 엄청 험한데 왜 이렇게 귀엽게 생겼냐… 그래도 잔인한 놈이라는 건 안 변하겠지만.,5,20796,134
0,12,2020-06-02 23:24,와 성좌들 들어오는걸 어떻게 표현하나 했는데 저렇게 표현했구만,0,0,0
0,12,2020-06-02 23:31,김독자가 멸살법 봤던것도 나름의 성좌같은 입장이었다는게 진짜 발상의 전환이네....와 유명했던데엔 이유가 있구나,1,13712,176
0,12,2020-06-02 23:29,"아... ㅜㅜㅜㅜ 진짜 저 문구는 몇 번 읽어도 너무 좋아... ""하나의 세상이 멸망하고 다른 세계가 태어나려하고 있었다. 그리고 나는 이 세계의 결말을 아는 유일한 독자이다"" 이거 진짜 웹툰으로 보고 싶었는데 막상 보니까 감동이 ㅜㅜㅜㅜ",4,10143,159
0,12,2020-06-02 23:27,솔직히 살리지 않은게 하이퍼리얼리즘 아닌가. 이게 진짜로 일어난 일이면 다 살리지 않는게 더 현실적,0,0,0
0,12,2020-06-02 23:24,아이고 저 꼬마애 너무 귀여운데 트라우마 좀 남을듯.....맘이 아프다,0,0,0
0,12,2020-06-02 23:28,근데 김독자도 되게 똑똑한거 같다.. 저렇게 자기가 보던 소설이 현실이됐는데 착실히 자신이 아는 지식들을 동원해서 저렇게 나아가는거보면....,1,5697,45
0,12,2020-06-02 23:29,와 진짜 소설 세세한 부분하나하나 놓치지 않고 가네 작가님들과 같이 달리는 기분이 들어서 넘 좋아요,0,0,0
0,12,2020-06-02 23:28,분량봐라 지려가지고 지금 드라이기로 말리는중,2,4464,89
0,12,2020-06-02 23:29,도깨비 표정ㅋㅋㅋㅋ무슨 가면쓰듯 바뀌네 진짜 표정 두개 들고다니는듯ㅋㅋㅋㅋ하나는 너무 하찮고 귀여운데 하나는 묘하게 무섭게생김..ㅋㅋㅋㅋㅋ,0,0,0
0,12,2020-06-02 23:29,웹툰 처음 봤을 때는 독자 특유의 시니컬한 이미지가 안 보이는 것 같아서 걱정했는데 괜한걱정이였네~~~,0,0,0
0,12,2020-06-02 23:23,보먼 볼수록 저 도깨비 생각보다 너무 귀여움,0,0,0
0,12,2020-06-02 23:32,도깨비 잔인하면서도 귀엽게 생긴거..ㅋㅋ진짜 잘표현하신듯,0,0,0
0,12,2020-06-09 23:24,Q. 웹툰과 소설 화수가 똑같이 흘러가는데 최소 10년을 연재 계획중이신가요??? 대답해주십시요!!!,27,57315,118
0,12,2020-06-09 23:24,'한명오씨 닥치세요'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ독자 되게 시원하넼ㅋㅋㅋㅋ,12,35866,85
0,12,2020-06-09 23:30,다른 배후성은 개간진데 은밀한 모략은 거적대기 입혀놨네. 노숙잔줄.,28,25481,361
0,12,2020-06-09 23:24,초반 설명 때 손 4개가 설마 성좌들이야?,13,17050,151
0,12,2020-06-09 23:24,김독자 진짜 저 상황에서 침착할수 있단게 너무 놀랍다. 아무리 멸살법을 읽어봤다고 해도 저 상황에서 저렇게 침착하단게 아무나 할 수 있는 일은 아닐텐데 새삼 김독자가 멋져보인다,4,13200,175
0,12,2020-06-09 23:23,"성좌 손 나온 부분 왼쪽 위부터 흑염룡, 오른쪽이 제천대성, 왼쪽 아래가 우리엘 오른쪽이 은밀한 모략가인건가",6,9452,159
